yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
O15230	O15230	reviewed	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	Homo sapiens (Human)	3695	LAMA5	LAMA5_HUMAN	CARBOHYD 95 95 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 143 143 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 243 243 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 452 452 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 479 479 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 900 900 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 921 921 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 959 959 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1330 1330 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1529 1529 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1555 1555 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2196 2196 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2209 2209 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2303 2303 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2423 2423 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2501 2501 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2568 2568 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2707 2707 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 3107 3107 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 3209 3209 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3257 3257 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3287 3287 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3626 3626 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O15231	O15231	reviewed	Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A)	Homo sapiens (Human)	689	ZNF185	ZN185_HUMAN	
O15234	O15234	reviewed	Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz)	Homo sapiens (Human)	703	CASC3	CASC3_HUMAN	
O15269	O15269	reviewed	Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	Homo sapiens (Human)	473	SPTLC1	SPTC1_HUMAN	
O15270	O15270	reviewed	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	Homo sapiens (Human)	562	SPTLC2	SPTC2_HUMAN	
O15294	O15294	reviewed	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit)	Homo sapiens (Human)	1046	OGT	OGT1_HUMAN	CARBOHYD 3 3 O-linked (GlcNAc) serine; alternate. {ECO:0000250}.; CARBOHYD 4 4 O-linked (GlcNAc) serine; alternate. {ECO:0000250}.
O15355	O15355	reviewed	Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)	Homo sapiens (Human)	546	PPM1G	PPM1G_HUMAN	
O15357	O15357	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)	Homo sapiens (Human)	1258	INPPL1	SHIP2_HUMAN	
O15371	O15371	reviewed	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	Homo sapiens (Human)	548	EIF3D	EIF3D_HUMAN	
O15372	O15372	reviewed	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	Homo sapiens (Human)	352	EIF3H	EIF3H_HUMAN	
O15400	O15400	reviewed	Syntaxin-7	Homo sapiens (Human)	261	STX7	STX7_HUMAN	
O15439	O15439	reviewed	Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B)	Homo sapiens (Human)	1325	ABCC4	MRP4_HUMAN	CARBOHYD 651 651 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 690 690 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 746 746 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 754 754 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 792 792 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1176 1176 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1309 1309 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O15446	O15446	reviewed	DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CAST) (CD3E-associated protein) (RNA polymerase I-associated factor PAF49)	Homo sapiens (Human)	510	CD3EAP	RPA34_HUMAN	
O15460	O15460	reviewed	Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)	Homo sapiens (Human)	535	P4HA2	P4HA2_HUMAN	CARBOHYD 115 115 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 264 264 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O15479	O15479	reviewed	Melanoma-associated antigen B2 (Cancer/testis antigen 3.2) (CT3.2) (DSS-AHC critical interval MAGE superfamily 6) (DAM6) (MAGE XP-2 antigen) (MAGE-B2 antigen)	Homo sapiens (Human)	319	MAGEB2	MAGB2_HUMAN	
O35129	O35129	reviewed	Prohibitin-2 (B-cell receptor-associated protein BAP37) (Repressor of estrogen receptor activity)	Mus musculus (Mouse)	299	Phb2	PHB2_MOUSE	
O43143	O43143	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	Homo sapiens (Human)	795	DHX15	DHX15_HUMAN	
O43149	O43149	reviewed	Zinc finger ZZ-type and EF-hand domain-containing protein 1	Homo sapiens (Human)	2961	ZZEF1	ZZEF1_HUMAN	
O43159	O43159	reviewed	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	Homo sapiens (Human)	456	RRP8	RRP8_HUMAN	
O43166	O43166	reviewed	Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1) (High-risk human papilloma viruses E6 oncoproteins targeted protein 1) (E6-targeted protein 1)	Homo sapiens (Human)	1804	SIPA1L1	SI1L1_HUMAN	
O43251	O43251	reviewed	RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9) (Repressor of tamoxifen transcriptional activity)	Homo sapiens (Human)	390	RBFOX2	RFOX2_HUMAN	
O43252	O43252	reviewed	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	Homo sapiens (Human)	624	PAPSS1	PAPS1_HUMAN	
O43264	O43264	reviewed	Centromere/kinetochore protein zw10 homolog	Homo sapiens (Human)	779	ZW10	ZW10_HUMAN	
O43290	O43290	reviewed	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)	Homo sapiens (Human)	800	SART1	SNUT1_HUMAN	
O43293	O43293	reviewed	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	Homo sapiens (Human)	454	DAPK3	DAPK3_HUMAN	
O43379	O43379	reviewed	WD repeat-containing protein 62	Homo sapiens (Human)	1518	WDR62	WDR62_HUMAN	
O43390	O43390	reviewed	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	Homo sapiens (Human)	633	HNRNPR	HNRPR_HUMAN	
O43396	O43396	reviewed	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)	Homo sapiens (Human)	289	TXNL1	TXNL1_HUMAN	
O43491	O43491	reviewed	Band 4.1-like protein 2 (Generally expressed protein 4.1) (4.1G)	Homo sapiens (Human)	1005	EPB41L2	E41L2_HUMAN	
O43493	O43493	reviewed	Trans-Golgi network integral membrane protein 2 (TGN38 homolog) (TGN46) (TGN48) (Trans-Golgi network protein TGN51)	Homo sapiens (Human)	479	TGOLN2	TGON2_HUMAN	CARBOHYD 39 39 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 82 82 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 96 96 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 152 152 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 180 180 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 208 208 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 222 222 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 373 373 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 377 377 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O43583	O43583	reviewed	Density-regulated protein (DRP) (Protein DRP1) (Smooth muscle cell-associated protein 3) (SMAP-3)	Homo sapiens (Human)	198	DENR	DENR_HUMAN	
O43592	O43592	reviewed	Exportin-T (Exportin(tRNA)) (tRNA exportin)	Homo sapiens (Human)	962	XPOT	XPOT_HUMAN	
O43639	O43639	reviewed	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	Homo sapiens (Human)	380	NCK2	NCK2_HUMAN	
O43670	O43670	reviewed	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)	Homo sapiens (Human)	478	ZNF207	ZN207_HUMAN	
O43684	O43684	reviewed	Mitotic checkpoint protein BUB3	Homo sapiens (Human)	328	BUB3	BUB3_HUMAN	
O43707	O43707	reviewed	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	Homo sapiens (Human)	911	ACTN4	ACTN4_HUMAN	
O43719	O43719	reviewed	HIV Tat-specific factor 1 (Tat-SF1)	Homo sapiens (Human)	755	HTATSF1	HTSF1_HUMAN	
O43747	O43747	reviewed	AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1)	Homo sapiens (Human)	822	AP1G1	AP1G1_HUMAN	
O43760	O43760	reviewed	Synaptogyrin-2 (Cellugyrin)	Homo sapiens (Human)	224	SYNGR2	SNG2_HUMAN	
O43761	O43761	reviewed	Synaptogyrin-3	Homo sapiens (Human)	229	SYNGR3	SNG3_HUMAN	
O43776	O43776	reviewed	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	Homo sapiens (Human)	548	NARS	SYNC_HUMAN	
O43795	O43795	reviewed	Unconventional myosin-Ib (MYH-1c) (Myosin I alpha) (MMI-alpha) (MMIa)	Homo sapiens (Human)	1136	MYO1B	MYO1B_HUMAN	
O43813	O43813	reviewed	LanC-like protein 1 (40 kDa erythrocyte membrane protein) (p40)	Homo sapiens (Human)	399	LANCL1	LANC1_HUMAN	
O43815	O43815	reviewed	Striatin	Homo sapiens (Human)	780	STRN	STRN_HUMAN	
O43823	O43823	reviewed	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	Homo sapiens (Human)	692	AKAP8	AKAP8_HUMAN	
O43847	O43847	reviewed	Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase)	Homo sapiens (Human)	1151	NRDC	NRDC_HUMAN	
O43852	O43852	reviewed	Calumenin (Crocalbin) (IEF SSP 9302)	Homo sapiens (Human)	315	CALU	CALU_HUMAN	CARBOHYD 131 131 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19159218}.
O43861	O43861	reviewed	Probable phospholipid-transporting ATPase IIB (EC 3.6.3.1) (ATPase class II type 9B)	Homo sapiens (Human)	1147	ATP9B	ATP9B_HUMAN	
O60216	O60216	reviewed	Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog)	Homo sapiens (Human)	631	RAD21	RAD21_HUMAN	
O60264	O60264	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	Homo sapiens (Human)	1052	SMARCA5	SMCA5_HUMAN	
O60287	O60287	reviewed	Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog)	Homo sapiens (Human)	2271	URB1	NPA1P_HUMAN	
O60291	O60291	reviewed	E3 ubiquitin-protein ligase MGRN1 (EC 2.3.2.27) (Mahogunin RING finger protein 1) (RING finger protein 156) (RING-type E3 ubiquitin transferase MGRN1)	Homo sapiens (Human)	552	MGRN1	MGRN1_HUMAN	
O60306	O60306	reviewed	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	Homo sapiens (Human)	1485	AQR	AQR_HUMAN	
O60313	O60313	reviewed	Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]	Homo sapiens (Human)	960	OPA1	OPA1_HUMAN	
O60318	O60318	reviewed	Germinal-center associated nuclear protein (GANP) (80 kDa MCM3-associated protein) (MCM3 acetylating protein) (MCM3AP) (EC 2.3.1.-) (MCM3 acetyltransferase)	Homo sapiens (Human)	1980	MCM3AP	GANP_HUMAN	
O60333	O60333	reviewed	Kinesin-like protein KIF1B (Klp)	Homo sapiens (Human)	1816	KIF1B	KIF1B_HUMAN	
O60341	O60341	reviewed	Lysine-specific histone demethylase 1A (EC 1.-.-.-) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2)	Homo sapiens (Human)	852	KDM1A	KDM1A_HUMAN	
O60353	O60353	reviewed	Frizzled-6 (Fz-6) (hFz6)	Homo sapiens (Human)	706	FZD6	FZD6_HUMAN	CARBOHYD 38 38 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 352 352 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O60443	O60443	reviewed	Gasdermin-E (Inversely correlated with estrogen receptor expression 1) (ICERE-1) (Non-syndromic hearing impairment protein 5) [Cleaved into: Gasdermin-E, N-terminal (GSDME-NT); Gasdermin-E, C-terminal (GSDME-CT)]	Homo sapiens (Human)	496	GSDME	GSDME_HUMAN	
O60488	O60488	reviewed	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4)	Homo sapiens (Human)	711	ACSL4	ACSL4_HUMAN	
O60504	O60504	reviewed	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)	Homo sapiens (Human)	671	SORBS3	VINEX_HUMAN	
O60506	O60506	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	Homo sapiens (Human)	623	SYNCRIP	HNRPQ_HUMAN	
O60524	O60524	reviewed	Nuclear export mediator factor NEMF (Antigen NY-CO-1) (Serologically defined colon cancer antigen 1)	Homo sapiens (Human)	1076	NEMF	NEMF_HUMAN	
O60568	O60568	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3)	Homo sapiens (Human)	738	PLOD3	PLOD3_HUMAN	CARBOHYD 63 63 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 548 548 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O60610	O60610	reviewed	Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1)	Homo sapiens (Human)	1272	DIAPH1	DIAP1_HUMAN	
O60664	O60664	reviewed	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)	Homo sapiens (Human)	434	PLIN3	PLIN3_HUMAN	
O60678	O60678	reviewed	Protein arginine N-methyltransferase 3 (EC 2.1.1.-) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)	Homo sapiens (Human)	531	PRMT3	ANM3_HUMAN	
O60684	O60684	reviewed	Importin subunit alpha-7 (Karyopherin subunit alpha-6)	Homo sapiens (Human)	536	KPNA6	IMA7_HUMAN	
O60701	O60701	reviewed	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	Homo sapiens (Human)	494	UGDH	UGDH_HUMAN	
O60704	O60704	reviewed	Protein-tyrosine sulfotransferase 2 (EC 2.8.2.20) (Tyrosylprotein sulfotransferase 2) (TPST-2)	Homo sapiens (Human)	377	TPST2	TPST2_HUMAN	CARBOHYD 343 343 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 368 368 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O60716	O60716	reviewed	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))	Homo sapiens (Human)	968	CTNND1	CTND1_HUMAN	
O60732	O60732	reviewed	Melanoma-associated antigen C1 (Cancer/testis antigen 7.1) (CT7.1) (MAGE-C1 antigen)	Homo sapiens (Human)	1142	MAGEC1	MAGC1_HUMAN	
O60763	O60763	reviewed	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	Homo sapiens (Human)	962	USO1	USO1_HUMAN	
O60779	O60779	reviewed	Thiamine transporter 1 (ThTr-1) (ThTr1) (Solute carrier family 19 member 2) (Thiamine carrier 1) (TC1)	Homo sapiens (Human)	497	SLC19A2	S19A2_HUMAN	CARBOHYD 63 63 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 314 314 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O60784	O60784	reviewed	Target of Myb protein 1	Homo sapiens (Human)	492	TOM1	TOM1_HUMAN	
O60831	O60831	reviewed	PRA1 family protein 2	Homo sapiens (Human)	178	PRAF2	PRAF2_HUMAN	
O60832	O60832	reviewed	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	Homo sapiens (Human)	514	DKC1	DKC1_HUMAN	
O60841	O60841	reviewed	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	Homo sapiens (Human)	1220	EIF5B	IF2P_HUMAN	
O60884	O60884	reviewed	DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)	Homo sapiens (Human)	412	DNAJA2	DNJA2_HUMAN	
O60885	O60885	reviewed	Bromodomain-containing protein 4 (Protein HUNK1)	Homo sapiens (Human)	1362	BRD4	BRD4_HUMAN	
O60941	O60941	reviewed	Dystrobrevin beta (DTN-B) (Beta-dystrobrevin)	Homo sapiens (Human)	627	DTNB	DTNB_HUMAN	
O75044	O75044	reviewed	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2) (Rho GTPase-activating protein 34)	Homo sapiens (Human)	1071	SRGAP2	SRGP2_HUMAN	
O75054	O75054	reviewed	Immunoglobulin superfamily member 3 (IgSF3) (Glu-Trp-Ile EWI motif-containing protein 3) (EWI-3)	Homo sapiens (Human)	1194	IGSF3	IGSF3_HUMAN	CARBOHYD 43 43 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 418 418 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 655 655 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 842 842 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1077 1077 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O75083	O75083	reviewed	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1)	Homo sapiens (Human)	606	WDR1	WDR1_HUMAN	
O75110	O75110	reviewed	Probable phospholipid-transporting ATPase IIA (EC 3.6.3.1) (ATPase class II type 9A)	Homo sapiens (Human)	1047	ATP9A	ATP9A_HUMAN	
O75116	O75116	reviewed	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)	Homo sapiens (Human)	1388	ROCK2	ROCK2_HUMAN	
O75122	O75122	reviewed	CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2) (Protein Orbit homolog 2) (hOrbit2)	Homo sapiens (Human)	1294	CLASP2	CLAP2_HUMAN	
O75131	O75131	reviewed	Copine-3 (Copine III)	Homo sapiens (Human)	537	CPNE3	CPNE3_HUMAN	
O75146	O75146	reviewed	Huntingtin-interacting protein 1-related protein (HIP1-related protein) (Huntingtin-interacting protein 12) (HIP-12)	Homo sapiens (Human)	1068	HIP1R	HIP1R_HUMAN	
O75152	O75152	reviewed	Zinc finger CCCH domain-containing protein 11A	Homo sapiens (Human)	810	ZC3H11A	ZC11A_HUMAN	
O75153	O75153	reviewed	Clustered mitochondria protein homolog	Homo sapiens (Human)	1309	CLUH	CLU_HUMAN	
O75165	O75165	reviewed	DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)	Homo sapiens (Human)	2243	DNAJC13	DJC13_HUMAN	
O75175	O75175	reviewed	CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3) (Leukocyte receptor cluster member 2)	Homo sapiens (Human)	753	CNOT3	CNOT3_HUMAN	
O75179	O75179	reviewed	Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)	Homo sapiens (Human)	2603	ANKRD17	ANR17_HUMAN	
O75319	O75319	reviewed	RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1)	Homo sapiens (Human)	377	DUSP11	DUS11_HUMAN	
O75323	O75323	reviewed	Protein NipSnap homolog 2 (NipSnap2) (Glioblastoma-amplified sequence)	Homo sapiens (Human)	286	NIPSNAP2	NIPS2_HUMAN	
O75367	O75367	reviewed	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	Homo sapiens (Human)	372	H2AFY	H2AY_HUMAN	
O75369	O75369	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	Homo sapiens (Human)	2602	FLNB	FLNB_HUMAN	
O75390	O75390	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	Homo sapiens (Human)	466	CS	CISY_HUMAN	
O75396	O75396	reviewed	Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1)	Homo sapiens (Human)	215	SEC22B	SC22B_HUMAN	
O75400	O75400	reviewed	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	Homo sapiens (Human)	957	PRPF40A	PR40A_HUMAN	
O75427	O75427	reviewed	Leucine-rich repeat and calponin homology domain-containing protein 4 (Leucine-rich repeat neuronal protein 4) (Leucine-rich neuronal protein)	Homo sapiens (Human)	683	LRCH4	LRCH4_HUMAN	
O75439	O75439	reviewed	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)	Homo sapiens (Human)	489	PMPCB	MPPB_HUMAN	
O75475	O75475	reviewed	PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52)	Homo sapiens (Human)	530	PSIP1	PSIP1_HUMAN	
O75477	O75477	reviewed	Erlin-1 (Endoplasmic reticulum lipid raft-associated protein 1) (Protein KE04) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1) (SPFH domain-containing protein 1)	Homo sapiens (Human)	346	ERLIN1	ERLN1_HUMAN	CARBOHYD 106 106 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
